object_id,object_type,lat,lon,current_name,suggested_name,suggested_action,suggestion_reason,issue_count,issue_types,candidate_names,province,road,address,osm_id,osm_name,google_place_id,source_datasets,reviewed_name,review_status,review_note,ai_suggested_name,ai_confidence,ai_reason
vn-toll-gmaps-chijl6j3blwfszer0pcyadvep-u,toll_station,21.082426,107.392871,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Đoàn Kết | Cao Tốc Hạ Long - Vân Đồn 39Jv | TRẠM THU PHÍ HẠ LONG VÂN ĐỒN | Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm thu phí cao tốc Hạ Long - Vân Đồn,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn 39Jv,"39JV+X4H Trạm thu phí cao tốc Hạ Long - Vân Đồn, Unnamed, Road, Vân Đồn, Quảng Ninh, Việt Nam",vn-toll-osm-1316305913,Trạm Thu phí Đoàn Kết,ChIJl6J3blwFSzER0pCyADVEP-U,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijzt0yfhjfsjere2wnmcahp3w,toll_station,20.974346,106.965774,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Việt Hưng | Cao Tốc Hạ Long - Vân Đồn Xxf8 | Trạm thu phí cao tốc Hạ Long - Vân Đồn,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn Xxf8,"XXF8+P8J Trạm Thu Phí Cao Tốc Hạ Long - Vân Đồn, Unnamed, Road, Việt Hưng, Quảng Ninh, Việt Nam",vn-toll-osm-6221327319,Trạm Thu phí Việt Hưng,ChIJzT0YfhJfSjERe2WNMCahP3w,B_final,,,,,,
vn-toll-gmaps-chij25u6y96fcjerromg4bcfto0,toll_station,10.317545,105.880116,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận | Trạm Thu phí An Thái Trung | Cao Tốc Trung Lương - Mỹ Thuận 8V9J | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | TRẠM THU PHÍ CAI LẬY ( CAO TỐC TRUNG LƯƠNG- MỸ THUẬN) | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Đồng Tháp,Cao Tốc Trung Lương - Mỹ Thuận 8V9J,"8V9J+62 Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận, Thanh Hưng, Đồng Tháp, Việt Nam",vn-toll-osm-13594609044,Trạm Thu phí An Thái Trung,ChIJ25u6Y96FCjERroMG4BCFTo0,A_colleague;B_final,,,,,,
vn-toll-clean-079,toll_station,10.0199467,106.2974383,Trạm thu phí Cầu Cổ Chiên,Trạm thu phí Cầu Cổ Chiên,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí Cầu Cổ Chiên | QL60 | Trạm thu phí Cổ Chiên | Trạm Thu phí Cầu Cổ Chiên | Trạm thu phí Cầu Cổ Chiên,Vĩnh Long,QL60,"QL60, Nhị Long, Vĩnh Long, Việt Nam",,,,A_colleague,,,,,,
vn-toll-gmaps-chijbyvfm3qkntercjpalln1y8g,toll_station,21.080139,106.092165,Trạm thu phí Cầu Hồ,Trạm thu phí Cầu Hồ,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí Cầu Hồ | Trạm Thu Phí Bắc Ninh Hải Dương | QL38 | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm thu phí Cầu Hồ,Bắc Ninh,QL38,"33JR+3V3 Trạm Thu phí Cầu Hồ, QL38, Tân Chi, Bắc Ninh, Việt Nam",vn-toll-osm-6862997895,Trạm Thu Phí Bắc Ninh Hải Dương,ChIJbYVFM3QKNTERcjpALLN1Y8g,A_colleague;B_final,,,,,,
final-ChIJcYnshklhoDERkLnRXydRhaw,toll_station,9.9242626,105.8540449,Trạm thu phí Cầu Phú Hữu,Trạm thu phí Cầu Phú Hữu,keep,current name is acceptable by rules,1,missing_province_context,Trạm thu phí Cầu Phú Hữu | Trạm Thu phí Cầu Phú Hữu | Trạm thu phí Cầu Phú Hữu,,,,,Trạm Thu phí Cầu Phú Hữu,ChIJcYnshklhoDERkLnRXydRhaw,B_final,,,,,,
vn-toll-gmaps-chijcdgnmmhdnterei-tfxzxnhk,toll_station,20.590872,106.139251,Trạm thu phí Cầu Thái Hà,Trạm thu phí Cầu Thái Hà,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Cầu Thái Hà | OSM toll 13338380133 | Trạm Thu phí Cầu Thái Hà | Trạm Thu phí Cầu Thái Hà | Trạm thu phí Cầu Thái Hà,Hưng Yên,,"H4RQ+8PR Trạm Thu phí Cầu Thái Hà, Long Hưng, Hưng Yên, Việt Nam",vn-toll-osm-13338380133,OSM toll 13338380133,ChIJCdGNMMHDNTEREi-tFxzxNHk,B_final,,,,,,
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,21.285532,105.404046,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,keep,current name matches Google better than OSM,4,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,Hà Nội,,"Km7+180 đường Phú Hà (đường dẫn cầu Văn Lang, Cổ Đô, Hà Nội, Việt Nam",vn-toll-osm-6563222996,OSM toll 6563222996,ChIJsdENaHaNNDERsdrKMfp5jXw,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,20.658939,106.048984,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh,keep,current name matches Google better than OSM,3,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí Cầu Yên Lệnh | OSM toll 10198957829 | QL38 | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm thu phí Cầu Yên Lệnh,Hưng Yên,QL38,"Trạm thu phí, QL38, Sơn Nam, Hưng Yên, Việt Nam",vn-toll-osm-10198957829,OSM toll 10198957829,ChIJpUd-AwDHNTERAUKymVQ_3DI,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijuf95la0bszer7kkifo99l6e,toll_station,21.003101,107.327187,Trạm thu phí Cẩm Phả,Trạm thu phí Cẩm Phả,keep,current name matches Google better than OSM,4,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Trạm thu phí Cẩm Phả | OSM toll 1381203335 | Trạm Thu Phí Cẩm Phả | Trạm Thu Phí Cẩm Phả | TRẠM THU PHÍ CẨM PHẢ QL 18 | Trạm Thu Phí Cẩm Phả | Trạm thu phí Cẩm Phả,Quảng Ninh,,"Trần Quốc Tảng, Cửa Ông, Quảng Ninh, Việt Nam",vn-toll-osm-1381203335,OSM toll 1381203335,ChIJuf95la0BSzER7KKiFo99L6E,A_colleague;B_final,,,,,,
vn-toll-gmaps-chij17nu3clusjerps6to2kbcuc,toll_station,20.776114,106.723902,Trạm thu phí Dương Kinh,Trạm thu phí Dương Kinh,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Dương Kinh | OSM toll 1329847084 | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm thu phí Dương Kinh,Hải Phòng,,"QPGF+CHR Trạm Thu phí Dương Kinh, Dương Kinh, Hải Phòng, Việt Nam",vn-toll-osm-1329847084,OSM toll 1329847084,ChIJ17Nu3CluSjERPS6To2kBcUc,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijs-uxldfhmzerhgmov8hzfq0,toll_station,21.533157,104.972637,Trạm thu phí Hạ Hoà (IC11),Trạm thu phí Hạ Hoà (IC11),keep,current name matches Google better than OSM,1,source_name_conflict,Trạm thu phí Hạ Hoà (IC11) | IC11 | Trạm thu phí Hạ Hoà (IC11),Phú Thọ,,"GXMF+736 Trạm Thu phí Hạ Hoà (IC11), Văn Lang, Phú Thọ, Việt Nam",vn-toll-osm-6554530141,IC11,ChIJs-UXlDFhMzERHgmOv8HZfq0,B_final,,,,,,
vn-toll-gmaps-chijz1erg79vnterj9wpxswipbo,toll_station,21.315908,106.25888,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 | Cao Tốc Bắc Giang - Lạng Sơn 8785 | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,Bắc Giang,Cao Tốc Bắc Giang - Lạng Sơn 8785,"8785+9H6 Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn, Lạng Giang, Bắc Ninh, Việt Nam",vn-toll-osm-6837953448,Trạm Thu phí Km104,ChIJz1ErG79vNTERj9WPxSwipBo,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijldcenyv9nderu0-djgbtfgm,toll_station,21.252714,105.739648,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai | Trạm thu phí Nội Bài | Cao Tốc Hà Nội - Lào Cai Trạm Thu Phí Cao Tốc Nội Bài - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,Hà Nội,Cao Tốc Hà Nội - Lào Cai Trạm Thu Phí Cao Tốc Nội Bài - Lào Cai,"Trạm thu phí Cao tốc Nội Bài - Lào Cai, ĐCT05, Kim Anh, Hà Nội, Việt Nam",vn-toll-osm-1329842882,Trạm thu phí Nội Bài,ChIJldceNYv9NDERu0_djGbTfGM,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijfrnwdlqrsjerj0lihlazqz8,toll_station,21.686704,106.62769,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),keep,current name matches Google better than OSM,2,multiple_name_variants;source_name_conflict,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu phí Km 45+100 | Cao Tốc Bắc - Nam Phía Đông | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),Bắc Giang,Cao Tốc Bắc - Nam Phía Đông,"MJPH+M3P Trạm Thu Phí Km45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn), Nhân Lý, Lạng Sơn, Việt Nam",vn-toll-osm-6837952271,Trạm Thu phí Km45+100,ChIJfRnWDLqrSjERj0LihLAZQZ8,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijw7x4ly4vbzerqhxh-n6qozq,toll_station,13.871314,109.125422,Trạm thu phí Nam Bình Định,Trạm thu phí Nam Bình Định,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Nam Bình Định | OSM toll 6950227536 | Trạm Thu phí Nam Bình Định | Trạm Thu phí Nam Bình Định | TRẠM THU PHÍ NAM BÌNH ĐỊNH | Trạm Thu phí Nam Bình Định | Trạm thu phí Nam Bình Định,Bình Định,,"V4CG+G5F Trạm Thu phí Nam Bình Định, AH1, An Nhơn Nam, Gia Lai, Việt Nam",vn-toll-osm-6950227536,OSM toll 6950227536,ChIJW7x4LY4VbzERQhXh_N6qOzQ,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijheu4jpyeqjer0ieju1yy09k,toll_station,15.890553,108.173646,Trạm thu phí Phong Thử,Trạm thu phí Phong Thử,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Phong Thử | OSM toll 1374419135 | Trạm Thu phí Phong Thử | Trạm Thu phí Phong Thử | Trạm thu phí Phong Thử,Đà Nẵng,,"V5RF+6FC Trạm Thu phí Phong Thử, Điện Bàn Tây, Đà Nẵng, Việt Nam",vn-toll-osm-1374419135,OSM toll 1374419135,ChIJHeu4jPYEQjER0IEJu1YY09k,B_final,,,,,,
vn-toll-gmaps-chij5uixooyznter1uou4imhe6q,toll_station,20.907514,105.86138,Trạm thu phí Pháp Vân,Trạm thu phí Pháp Vân,keep,current name is acceptable by rules,3,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Pháp Vân | Đường cao tốc Pháp Vân - Cầu Giẽ | Trạm thu phí Pháp Vân | Trạm thu phí Pháp Vân | Trạm thu phí Pháp Vân,Hà Nội,,"WV46+XF4 Trạm thu phí Pháp Vân, ĐCT Pháp Vân - Cầu Giẽ, Nam Phù, Hà Nội, Việt Nam",vn-toll-osm-1351999824,Đường cao tốc Pháp Vân - Cầu Giẽ,ChIJ5UIXoOyzNTER1UOU4IMHE6Q,A_colleague;B_final,,,,,,
vn-toll-gmaps-chij60njjc-tnderf1gktlbp6bm,toll_station,21.390527,105.330033,Trạm thu phí Phù Ninh (IC8),Trạm thu phí Phù Ninh (IC8),keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Phù Ninh (IC8) | OSM toll 3992131737 | Trạm Thu phí Phù Ninh (IC8) | Trạm Thu phí Phù Ninh (IC8) | Trạm thu phí Phù Ninh (IC8),Phú Thọ,,"98RJ+627 Trạm Thu phí Phù Ninh (IC8), Phù Ninh, Phú Thọ, Việt Nam",vn-toll-osm-3992131737,OSM toll 3992131737,ChIJ60NjJc-TNDERf1GktLbp6bM,B_final,,,,,,
vn-toll-gmaps-chijg8s9mawqnderqdir-t0q-ia,toll_station,21.423543,105.230986,Trạm thu phí Phú Thọ (IC9),Trạm thu phí Phú Thọ (IC9),keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Phú Thọ (IC9) | OSM toll 6877650786 | Trạm Thu phí Phú Thọ (IC9) | Trạm Thu phí Phú Thọ (IC9) | Trạm thu phí Phú Thọ (IC9),Phú Thọ,,"C6FJ+C99 Trạm Thu phí Phú Thọ (IC9), Nút giao IC9, Phú Thọ, Việt Nam",vn-toll-osm-6877650786,OSM toll 6877650786,ChIJg8S9MaWQNDERQdIR_T0Q-iA,B_final,,,,,,
vn-toll-gmaps-chij-b1-qmp3nter5hrm1tmd6de,toll_station,21.116648,106.276521,Trạm thu phí Phả Lại,Trạm thu phí Phả Lại,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Phả Lại | OSM toll 13602049340 | Trạm Thu phí Phả Lại | Trạm Thu phí Phả Lại | TRẠM THU PHÍ PHẢ LẠI | Trạm Thu phí Phả Lại | Trạm thu phí Phả Lại,Bắc Ninh,,"478G+MJ2 Trạm Thu phí Phả Lại, Phù Lãng, Bắc Ninh, Việt Nam",vn-toll-osm-13602049340,OSM toll 13602049340,ChIJ-b1_QMp3NTER5hrm1tmd6dE,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijmzdscgvgsjer8vf1a48ywny,toll_station,20.986069,106.90282,Trạm thu phí quốc lộ 18 - Đại Yên,Trạm thu phí quốc lộ 18 - Đại Yên,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí quốc lộ 18 - Đại Yên | Trạm Thu Phí Đại Yên | QL18 | TRẠM THU PHÍ ĐẠI YÊN | Trạm thu phí Đại Yên | Trạm thu phí quốc lộ 18 - Đại Yên,Quảng Ninh,QL18,"XWP3+C4G Trạm thu phí quốc lộ 18 - Đại Yên, Tuần Châu, Quảng Ninh, Việt Nam",vn-toll-osm-12788166743,Trạm Thu Phí Đại Yên,ChIJmZDSCgVgSjER8vf1A48ywnY,A_colleague;B_final,,,,,,
vn-toll-clean-022,toll_station,21.6205522,106.5586596,Trạm thu phí Quốc lộ 279,Trạm thu phí Quốc lộ 279,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí Quốc lộ 279 | Quốc lộ 279 | Trạm thu phí 279 BGLS | Trạm Thu phí Quốc lộ 279 | Trạm thu phí Quốc lộ 279,Lạng Sơn,Quốc lộ 279,"JHC5+6FF, ĐCT Bắc Giang - Lạng Sơn, Chi Lăng, Lạng Sơn, Việt Nam",,,,A_colleague,,,,,,
vn-toll-gmaps-chijz9dylgbzcderyflmmd4qeom,toll_station,12.178763,109.058643,Trạm thu phí Suối Dầu,Trạm thu phí Suối Dầu,keep,current name is acceptable by rules,3,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Suối Dầu | Đi Cao tốc Nha Trang - Cam Lâm | Trạm Thu phí Suối Dầu | Trạm Thu phí Suối Dầu | Trạm thu phí Suối Dầu,Khánh Hòa,,"53H5+MHQ Trạm Thu phí Suối Dầu, Suối Dầu, Khánh Hòa, Việt Nam",vn-toll-osm-1132445126,Đi Cao tốc Nha Trang - Cam Lâm,ChIJz9dyLgBZcDERYflmMd4qeOM,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijm6tquru8djeran-pvwkiil0,toll_station,11.203574,108.32627,Trạm thu phí Sông Lũy,Trạm thu phí Sông Lũy,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Sông Lũy | OSM toll 10198616916 | Trạm Thu phí Sông Lũy | Trạm Thu phí Sông Lũy | Trạm thu phí Sông Lũy,Lâm Đồng,,"683G+CGC Trạm Thu phí Sông Lũy, Sông Lũy, Lâm Đồng, Việt Nam",vn-toll-osm-10198616916,OSM toll 10198616916,ChIJm6TQURu8djERaN-pVWKIIL0,B_final,,,,,,
