object_id,object_type,lat,lon,current_name,candidate_names,issue_types,rule_suggested_name,rule_suggested_action,ai_suggested_name,ai_action_original,ai_action_final,ai_confidence,ai_reason,final_review_decision,final_name,reviewer_note
final-ChIJcYnshklhoDERkLnRXydRhaw,toll_station,9.9242626,105.8540449,Trạm thu phí Cầu Phú Hữu,Trạm thu phí Cầu Phú Hữu | Trạm Thu phí Cầu Phú Hữu | Trạm thu phí Cầu Phú Hữu,missing_province_context,Trạm thu phí Cầu Phú Hữu,keep,Trạm thu phí Cầu Phú Hữu,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Cầu Phú Hữu,
vn-toll-gmaps-chijcdgnmmhdnterei-tfxzxnhk,toll_station,20.590872,106.139251,Trạm thu phí Cầu Thái Hà,Trạm thu phí Cầu Thái Hà | OSM toll 13338380133 | Trạm Thu phí Cầu Thái Hà | Trạm Thu phí Cầu Thái Hà | Trạm thu phí Cầu Thái Hà,osm_placeholder_name;source_name_conflict,Trạm thu phí Cầu Thái Hà,keep,Trạm thu phí Cầu Thái Hà,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Cầu Thái Hà,
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,21.285532,105.404046,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Trạm thu phí Cầu Văn Lang,keep,Trạm thu phí Cầu Văn Lang,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí Cầu Văn Lang,
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,20.658939,106.048984,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh | OSM toll 10198957829 | QL38 | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm thu phí Cầu Yên Lệnh,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí Cầu Yên Lệnh,keep,Trạm thu phí Cầu Yên Lệnh,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai sót.",keep,Trạm thu phí Cầu Yên Lệnh,
vn-toll-gmaps-chijuf95la0bszer7kkifo99l6e,toll_station,21.003101,107.327187,Trạm thu phí Cẩm Phả,Trạm thu phí Cẩm Phả | OSM toll 1381203335 | Trạm Thu Phí Cẩm Phả | Trạm Thu Phí Cẩm Phả | TRẠM THU PHÍ CẨM PHẢ QL 18 | Trạm Thu Phí Cẩm Phả | Trạm thu phí Cẩm Phả,osm_placeholder_name;multiple_name_variants;source_name_conflict;missing_road_context,Trạm thu phí Cẩm Phả,keep,Trạm thu phí Cẩm Phả,keep,keep,0.9,"Tên hiện tại đã rõ và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Cẩm Phả,
vn-toll-gmaps-chij17nu3clusjerps6to2kbcuc,toll_station,20.776114,106.723902,Trạm thu phí Dương Kinh,Trạm thu phí Dương Kinh | OSM toll 1329847084 | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm Thu phí Dương Kinh | Trạm thu phí Dương Kinh,osm_placeholder_name;source_name_conflict,Trạm thu phí Dương Kinh,keep,Trạm thu phí Dương Kinh,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Dương Kinh,
vn-toll-gmaps-chijs-uxldfhmzerhgmov8hzfq0,toll_station,21.533157,104.972637,Trạm thu phí Hạ Hoà (IC11),Trạm thu phí Hạ Hoà (IC11) | IC11 | Trạm thu phí Hạ Hoà (IC11),source_name_conflict,Trạm thu phí Hạ Hoà (IC11),keep,Trạm thu phí Hạ Hoà,rename,keep,0.8,"Tên hiện tại có phần bổ sung '(IC11)' không cần thiết, tên chính xác hơn là 'Trạm thu phí Hạ Hoà'.",keep,Trạm thu phí Hạ Hoà (IC11),Human override: keep Google/current name; IC/parenthetical info may be useful.
vn-toll-gmaps-chijz1erg79vnterj9wpxswipbo,toll_station,21.315908,106.25888,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 | Cao Tốc Bắc Giang - Lạng Sơn 8785 | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm Thu phí Km 104 Cao tốc Bắc Giang - Lạng Sơn | Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,multiple_name_variants,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,keep,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí Km 104 cao tốc Bắc Giang - Lạng Sơn,
vn-toll-gmaps-chijldcenyv9nderu0-djgbtfgm,toll_station,21.252714,105.739648,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai | Trạm thu phí Nội Bài | Cao Tốc Hà Nội - Lào Cai Trạm Thu Phí Cao Tốc Nội Bài - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm Thu phí Km 6 Cao tốc Hà Nội - Lào Cai | Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,multiple_name_variants,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,keep,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Km 6 cao tốc Hà Nội - Lào Cai,
vn-toll-gmaps-chijfrnwdlqrsjerj0lihlazqz8,toll_station,21.686704,106.62769,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu phí Km 45+100 | Cao Tốc Bắc - Nam Phía Đông | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm Thu Phí Km 45 - Cao Tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn) | Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),multiple_name_variants;source_name_conflict,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),keep,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Km 45 - cao tốc Bắc - Nam phía Đông (Bắc Giang - Lạng Sơn),
vn-toll-gmaps-chijw7x4ly4vbzerqhxh-n6qozq,toll_station,13.871314,109.125422,Trạm thu phí Nam Bình Định,Trạm thu phí Nam Bình Định | OSM toll 6950227536 | Trạm Thu phí Nam Bình Định | Trạm Thu phí Nam Bình Định | TRẠM THU PHÍ NAM BÌNH ĐỊNH | Trạm Thu phí Nam Bình Định | Trạm thu phí Nam Bình Định,osm_placeholder_name;source_name_conflict,Trạm thu phí Nam Bình Định,keep,Trạm thu phí Nam Bình Định,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Nam Bình Định,
vn-toll-gmaps-chijheu4jpyeqjer0ieju1yy09k,toll_station,15.890553,108.173646,Trạm thu phí Phong Thử,Trạm thu phí Phong Thử | OSM toll 1374419135 | Trạm Thu phí Phong Thử | Trạm Thu phí Phong Thử | Trạm thu phí Phong Thử,osm_placeholder_name;source_name_conflict,Trạm thu phí Phong Thử,keep,Trạm thu phí Phong Thử,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Phong Thử,
vn-toll-gmaps-chij5uixooyznter1uou4imhe6q,toll_station,20.907514,105.86138,Trạm thu phí Pháp Vân,Trạm thu phí Pháp Vân | Đường cao tốc Pháp Vân - Cầu Giẽ | Trạm thu phí Pháp Vân | Trạm thu phí Pháp Vân | Trạm thu phí Pháp Vân,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Pháp Vân,keep,Trạm thu phí Pháp Vân,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Pháp Vân,
vn-toll-gmaps-chij60njjc-tnderf1gktlbp6bm,toll_station,21.390527,105.330033,Trạm thu phí Phù Ninh (IC8),Trạm thu phí Phù Ninh (IC8) | OSM toll 3992131737 | Trạm Thu phí Phù Ninh (IC8) | Trạm Thu phí Phù Ninh (IC8) | Trạm thu phí Phù Ninh (IC8),osm_placeholder_name;source_name_conflict,Trạm thu phí Phù Ninh (IC8),keep,Trạm thu phí Phù Ninh (IC8),keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí Phù Ninh (IC8),
vn-toll-gmaps-chijg8s9mawqnderqdir-t0q-ia,toll_station,21.423543,105.230986,Trạm thu phí Phú Thọ (IC9),Trạm thu phí Phú Thọ (IC9) | OSM toll 6877650786 | Trạm Thu phí Phú Thọ (IC9) | Trạm Thu phí Phú Thọ (IC9) | Trạm thu phí Phú Thọ (IC9),osm_placeholder_name;source_name_conflict,Trạm thu phí Phú Thọ (IC9),keep,Trạm thu phí Phú Thọ,rename,keep,0.9,"Tên hiện tại có phần ngoặc '(IC9)' không cần thiết và không có trong nguồn Google/current, tên đã rõ ràng và khớp với nguồn chính thức.",keep,Trạm thu phí Phú Thọ (IC9),Human override: keep Google/current name; IC/parenthetical info may be useful.
vn-toll-gmaps-chij-b1-qmp3nter5hrm1tmd6de,toll_station,21.116648,106.276521,Trạm thu phí Phả Lại,Trạm thu phí Phả Lại | OSM toll 13602049340 | Trạm Thu phí Phả Lại | Trạm Thu phí Phả Lại | TRẠM THU PHÍ PHẢ LẠI | Trạm Thu phí Phả Lại | Trạm thu phí Phả Lại,osm_placeholder_name;source_name_conflict,Trạm thu phí Phả Lại,keep,Trạm thu phí Phả Lại,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Phả Lại,
vn-toll-gmaps-chijmzdscgvgsjer8vf1a48ywny,toll_station,20.986069,106.90282,Trạm thu phí quốc lộ 18 - Đại Yên,Trạm thu phí quốc lộ 18 - Đại Yên | Trạm Thu Phí Đại Yên | QL18 | TRẠM THU PHÍ ĐẠI YÊN | Trạm thu phí Đại Yên | Trạm thu phí quốc lộ 18 - Đại Yên,multiple_name_variants,Trạm thu phí quốc lộ 18 - Đại Yên,keep,Trạm thu phí quốc lộ 18 - Đại Yên,keep,keep,0.95,Tên hiện tại đã rõ ràng và khớp với nguồn Google/current.,keep,Trạm thu phí quốc lộ 18 - Đại Yên,
vn-toll-clean-022,toll_station,21.6205522,106.5586596,Trạm thu phí Quốc lộ 279,Trạm thu phí Quốc lộ 279 | Quốc lộ 279 | Trạm thu phí 279 BGLS | Trạm Thu phí Quốc lộ 279 | Trạm thu phí Quốc lộ 279,multiple_name_variants,Trạm thu phí Quốc lộ 279,keep,Trạm thu phí Quốc lộ 279,keep,keep,0.95,Tên hiện tại đã rõ ràng và khớp với nguồn Google/current.,keep,Trạm thu phí Quốc lộ 279,
vn-toll-gmaps-chijz9dylgbzcderyflmmd4qeom,toll_station,12.178763,109.058643,Trạm thu phí Suối Dầu,Trạm thu phí Suối Dầu | Đi Cao tốc Nha Trang - Cam Lâm | Trạm Thu phí Suối Dầu | Trạm Thu phí Suối Dầu | Trạm thu phí Suối Dầu,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Suối Dầu,keep,Trạm thu phí Suối Dầu,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Suối Dầu,
vn-toll-gmaps-chijm6tquru8djeran-pvwkiil0,toll_station,11.203574,108.32627,Trạm thu phí Sông Lũy,Trạm thu phí Sông Lũy | OSM toll 10198616916 | Trạm Thu phí Sông Lũy | Trạm Thu phí Sông Lũy | Trạm thu phí Sông Lũy,osm_placeholder_name;source_name_conflict,Trạm thu phí Sông Lũy,keep,Trạm thu phí Sông Lũy,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Sông Lũy,
vn-toll-gmaps-chijuyf92xusdderp1zo6r1ueqo,toll_station,10.875323,107.931343,Trạm thu phí Sông Phan,Trạm thu phí Sông Phan | OSM toll 1588276876 | Trạm Thu phí Sông Phan | Trạm Thu phí Sông Phan | Trạm thu phí Sông Phan | Trạm Thu phí Sông Phan | Trạm thu phí Sông Phan,osm_placeholder_name;source_name_conflict,Trạm thu phí Sông Phan,keep,Trạm thu phí Sông Phan,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Sông Phan,
vn-toll-gmaps-chijh4ypgmglnterffp5cs-xi3k,toll_station,20.949337,106.012557,Trạm thu phí Số 1 - Quốc lộ 5,Trạm thu phí Số 1 - Quốc lộ 5 | Trạm thu phí số 1 | QL5 | Trạm Thu phí Số 1 - Quốc lộ 5 | Trạm Thu phí Số 1 - Quốc lộ 5 | Trạm thu phí Số 1 - Quốc lộ 5,multiple_name_variants,Trạm thu phí Số 1 - Quốc lộ 5,keep,Trạm thu phí Số 1 - Quốc lộ 5,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Số 1 - Quốc lộ 5,
final-ChIJ4dEMbuZ4SjERLJAkCqZ65Ac,toll_station,20.9085704,106.5726339,Trạm thu phí Số 2 - Quốc lộ 5,Trạm thu phí Số 2 - Quốc lộ 5 | OSM toll 10185562123 | QL5 | TRẠM THU PHÍ QL 5 SỐ 2 ( TRẠM QUÁN TOAN) | Trạm Thu phí Số 2 - Quốc lộ 5 | Trạm thu phí Số 2 - Quốc lộ 5,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí Số 2 - Quốc lộ 5,keep,Trạm thu phí Số 2 - Quốc lộ 5,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Số 2 - Quốc lộ 5,
vn-toll-gmaps-chijmzqjckncatervw-k6mqd6u8,toll_station,15.548535,108.518476,Trạm thu phí Tam Kỳ,Trạm thu phí Tam Kỳ | OSM toll 6860284192 | QL1A | Trạm Thu phí Tam Kỳ | Trạm Thu phí Tam Kỳ | TRẠM THU PHÍ TAM KỲ | Trạm Thu phí Tam Kỳ | Trạm thu phí Tam Kỳ,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí Tam Kỳ,keep,Trạm thu phí Tam Kỳ,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí Tam Kỳ,
